Renaes,Lote,Correlativo
00003636,25,00005500
00003636,25,00005501
00003636,25,00005502
00003636,25,00005503
00003636,25,00005504
00003636,25,00005505
00003636,25,00005506
00003636,25,00005507
00003636,25,00005508
00003636,25,00005509
00003636,25,00005510
00003636,24,00000001
00003636,24,00000002
00003636,24,00000003
00003636,24,00000004
00003636,24,00000005
00003636,24,00000006
00003636,24,00000007
00003636,24,00000008
00003636,24,00000009
00003636,24,00000010
00003636,24,00000011
00003636,24,00000012
00003636,24,00000013
00003636,24,00000014
00003636,24,00000033
00003636,24,00000044
00003636,24,00000055
00003636,24,00000030
00003636,24,00000031
00003636,24,00000032
00003636,24,00000014
00003639,25,00027313
00003639,25,00027567
00003639,25,00027360
00003639,25,00027301
00003639,25,00027349
00003639,25,00026962
00003639,25,00026964
00003639,25,00014334
00003639,25,00020196
00003639,25,00027599
00003639,25,00027318
00003639,25,00020191
00003639,25,00027072
00003639,25,00026194
00003639,25,00026966
00003639,25,00026896
00003639,25,00026897
00003639,25,00027327
00003639,25,00027373
00003639,25,00027368
00003639,25,00027375
00003639,25,00027324
00003639,25,00027383
00003639,25,00027398
00003639,25,00027395
00003639,25,00027391
00003639,25,00027552
00003639,25,00027386
00003639,25,00027557
00003639,25,00027502
00003639,25,00027506
00003639,25,00027509
00003639,25,00027513
00003639,23,00027331
00003639,23,00027291
00003639,23,00027288
00003639,23,00027284
00003639,23,00026967
00003639,23,00026971
00003639,23,00027282
00003639,23,00027343
00003639,23,00027335
00003639,23,00027339
00003639,23,00027523
00003639,23,00027577
00003639,23,00027531
00003639,23,00027539
00003639,25,00027558
00003639,23,00027520
00003639,23,00027566
00003639,23,00027187
00003639,23,00027543
00003639,23,00027562
00003639,23,00027535
00003639,23,00027527
00003639,23,00027580
00003639,23,00027547
00003639,23,00026478
00003643,23,00004732
00003638,23,00000976
00003646,23,00002709
00003646,23,00002848
00003646,23,00002961
00003637,23,00001436
00003637,23,00002332
00003636,23,00004232
00003639,23,00016691
00003646,23,00002720
00003639,23,00027890
00003639,23,00027893
00003637,23,00001883
00003641,23,00001887
00003639,23,00027723
00011458,23,00001731
00003639,23,00026773
00003646,23,00002857
00003646,23,00002982
00003639,23,00026033
00003637,23,00002170
00003644,23,00005038
00003646,23,00002878
00003646,23,00002895
00003636,23,00004276
00003636,23,00004278
00003642,23,00001713
00003639,23,00026609
00003639,23,00026718
00003639,23,00016809
00003639,23,00026327
00003639,23,00026324
00003639,23,00027482
00003646,23,00002812
00003643,23,00003691
00003638,23,00001068
00003643,23,00005053
00003639,23,00024011
00003639,24,00026467
00003639,24,00026487
00003644,25,00006170
00003644,24,00006167
00003644,24,00006145
00003644,24,00006142
00003644,24,00006163
00003644,24,00006160
00003644,24,00006112
00003644,24,00006115
00003644,24,00006157
00003644,24,00006154
00003644,24,00006151
00003644,24,00006148
00003644,24,00006126
00003644,24,00006109
00003644,24,00006106
00003644,24,00006121
00003644,24,00006118
00003644,24,00006133
00003644,24,00006176
00003644,24,00006173
00003644,24,00006129
00003644,24,00006139
00003644,24,00006136
00003644,24,00006103
00003639,24,00028186
00003643,25,00000220
00003643,25,00000225
00003643,24,00007312
00003643,24,00007135
00003643,25,00000277
00003643,25,00000267
00003639,24,00030089
00003639,24,00030090
00003643,25,00000211
00003643,25,00000205
00003643,25,00000208
00003643,25,00000214
00003643,25,00000217
00003643,25,00000222
00003639,25,00000892
00003637,25,00000188
00003637,25,00000187
00003637,25,00000189
00003639,24,00028888
00003639,25,00012267
00003639,25,00014385
00003639,25,00016250
00003646,25,00002680
00003639,25,00027605
00003637,25,00003728
